Sex,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Pelvic Inflammatory Disease2,0,0,0,0,0,236,0,1913,0,456,0,170,2775
Menstrual Disturbances,0,0,0,0,0,434,0,4201,0,606,0,179,5420
"Other Kidney, UT/Genital Disorders",71,62,313,298,867,1183,4961,16986,1004,2224,1614,1947,31530
"Pregnancy, Childbirth & the Puerperium",,,,,,,,,,,,,
Abortions,0,0,0,0,0,3,0,1005,0,0,0,0,1008
Pregnancy Induced Hypertension,0,0,0,0,0,1,0,549,0,0,0,0,550
Ante-Partum Haemorrhage & Placenta Previa,0,0,0,0,0,1,0,237,0,0,0,0,238
Malpresentation,0,0,0,0,0,0,0,183,0,0,0,0,183
Prolonged Labour,0,0,0,0,0,0,0,218,0,0,0,0,218
Obstructed Labour,0,0,0,0,0,0,0,53,0,0,0,0,53
Post-Partum Heamorrhage,0,0,0,0,0,0,0,126,0,0,0,0,126
Retained Placenta,0,0,0,0,0,0,0,69,0,0,0,0,69
Puerperal Sepsis,0,0,0,0,0,0,0,104,0,0,0,0,104
Other Complications of Pregnancy,0,0,0,0,0,11,0,7489,0,0,0,0,7500
Certain Conditions Originating in the Perinatal Period,,,,,,,,,,,,,
Low Birth Weight,162,187,0,0,0,0,0,0,0,0,0,0,349
Foetal Death & Stillbirth,10,19,0,0,0,0,0,0,0,0,0,0,29
Neonatal Death,48,41,0,0,0,0,0,0,0,0,0,0,89
Conditions Originating in the Perinatal period,1949,1581,0,0,0,0,0,0,0,0,0,0,3530
"Congenital Malformations, Deformations & Chromosomal Abnormalities",,,,,,,,,,,,,
Oro-facial Clefts,17,7,0,0,0,0,0,0,0,0,0,0,24
Gastrointestinal Tract defects,2,3,1,0,0,0,0,0,0,0,0,0,6
Talipes Equinovarus,2,0,0,0,0,0,0,0,0,0,0,0,2
Omphalocele,2,0,0,0,0,0,0,0,0,0,0,0,2
Other Malformations,106,72,73,62,35,28,25,48,0,0,1,6,456
"Injury, Poisoning & certain other consequences of External Causes",,,,,,,,,,,,,
Mushroom Poisoning  (Toxic effect of other unspecified substances),0,1,5,2,12,11,42,43,5,6,13,4,144
Transport Accidents,5,2,24,13,64,51,748,251,58,30,55,20,1321
Accidental Falls,22,20,295,207,1131,579,1732,1081,300,254,431,374,6426
Other Bites and Sting  (excludes dog bite),14,432,199,188,474,418,879,957,190,194,201,169,4315
Dog Bites,15,10,304,237,1130,828,1797,1464,310,218,335,225,6873
Accidental Drowning & Submersion,0,1,4,1,9,9,20,13,3,2,1,5,68
Exposure to Electric Current,0,2,4,2,3,3,40,11,4,2,7,2,80
"Contact with Heat & Hot substances and exposure to Smoke, Fire & Flames",361,359,204,184,197,166,386,422,79,49,66,70,2543
Snake Bite,1,1,1,1,13,7,52,48,25,16,27,11,203
Contact with Venomous Animals and Plants (excludes snake bite),1,2,6,4,11,9,28,28,4,1,8,3,105
Accidental Poisoning by and Exposure to Noxious substances,1,2,14,9,15,19,21,23,6,2,2,4,118
Intentional Self-harm by Poisoning,0,1,0,0,1,4,24,49,1,0,4,0,84
Intentional Self-harm by Drowning & Submersion,0,0,0,0,0,0,2,2,0,0,0,0,4
Assault by Poisoning (includes homicidal poisoning),0,0,2,0,0,0,3,3,0,0,0,0,8
Assault by Drowning and Submersion,0,0,0,0,0,0,1,4,0,2,1,0,8
Other Intentional Self-harm,0,0,0,0,8,9,62,47,11,7,9,4,157
Work Related Injuries,11,4,161,115,1637,899,9384,4114,1569,772,1507,667,20840
Others (injuries other than above  & unknown cause of injury),368,57,590,377,2782,1466,6574,3691,862,648,2276,562,20253
Other Conditions,,,,,,,,,,,,,
Complications of Health Care,18,20,34,43,71,53,326,485,51,56,56,56,1269
"ANC, Immunization & Other Counselling",3923,3965,5277,4989,2791,3127,7517,28451,1589,2071,2742,2883,69325
Total,19834,18911,42133,39834,106010,106562,248814,357416,53261,60747,71238,73253,1198013
Note:1Morbidity refers to the condition of suffering from a disease or a medical condition.,,,,,,,,,,,,,
"2For these diseases, the data are available only from hospitals.",,,,,,,,,,,,,
"Source:  Annual Health Bulletin 2022, MoH.",,,,,,,,,,,,,
